date,spy_close,spy_adj_close,spy_ret3,sma200,vix,vix_ret3,vix3m,fwd_2s,fwd_3s,fwd_5s,fwd_10s,fwd_15s
2015-01-27,202.74,167.4659,-0.0163,161.58,17.22,0.05,19.11,-0.0037,-0.0162,0.0104,0.0201,0.0365
2015-01-28,200.14,165.3183,-0.0236,161.67,20.44,0.2269,21.44,-0.0034,0.0089,0.0196,0.0339,0.0492
2015-01-29,201.99,166.8464,-0.0168,161.76,18.76,0.2088,20,-0.0003,0.0141,0.0204,0.0343,0.0458
2015-01-30,199.45,164.7483,-0.0162,161.83,20.97,0.2178,21.82,0.027,0.0231,0.0306,0.0518,0.059
2015-03-06,207.5,171.3977,-0.0171,164.18,15.2,0.0967,17.51,-0.0121,-0.0145,-0.008,0.0186,-0.0041
2015-03-10,204.98,169.3162,-0.026,164.34,16.69,0.1887,18.26,0.0103,0.0041,0.0145,0.0233,0.0116
2015-03-11,204.5,168.9196,-0.0145,164.41,16.87,0.1099,18.53,0.0065,0.02,0.0291,0.0107,0.0104
2015-03-25,205.76,170.7191,-0.0221,165.18,15.44,0.1859,17.57,-0.0001,0.0121,-0.0003,0.0153,0.0224
2015-03-26,205.27,170.3126,-0.0225,165.23,15.8,0.1782,17.57,0.0145,0.0057,0.0057,0.0232,0.0131
2015-03-27,205.74,170.7025,-0.0147,165.29,15.07,0.1065,17.39,0.0034,-0.0002,0.0102,0.0163,0.02
2015-04-30,208.46,172.9593,-0.011,166.83,14.55,0.109,16.48,0.0137,0.0021,0.002,0.018,0.0242
2015-05-06,208.04,172.6108,-0.0127,167.09,15.15,0.1929,16.72,0.0172,0.0124,0.0095,0.0233,0.0212
2015-05-07,208.87,173.2995,-0.0116,167.15,15.13,0.1774,16.74,0.0083,0.0053,0.016,0.0222,0.0109
2015-05-26,210.7,174.8179,-0.0102,168.12,14.06,0.0916,15.48,0.0084,0.0021,0.0031,-0.0107,-0.0021
2015-06-08,208.48,172.9759,-0.0162,168.8,15.29,0.1193,16.6,0.0118,0.0151,0.003,0.0213,-0.0099
2015-06-26,209.82,174.9345,-0.0105,169.6,14.02,0.1577,15.46,-0.0189,-0.0111,-0.0148,-0.0002,0.0132
2015-06-30,205.85,171.6245,-0.0191,169.68,18.23,0.3012,18.47,0.0071,0.0042,-0.0064,0.0231,0.0268
2015-07-01,207.5,173.0002,-0.0111,169.73,16.09,0.1476,16.79,-0.0038,0.0025,-0.0125,0.0231,0.0129
2015-07-24,208,173.4171,-0.0177,170.71,13.74,0.1244,15.65,0.0064,0.0133,0.012,-0.0002,0.0068
2015-07-27,206.79,172.4082,-0.0217,170.76,15.6,0.2871,16.78,0.0192,0.0195,0.0145,0.0183,0.0184
2015-11-09,208.08,174.3857,-0.0108,171.69,16.52,0.0651,18.85,-0.0016,-0.0156,-0.0118,0.0048,0.0125
2015-11-11,207.74,174.1008,-0.0109,171.77,16.06,0.1207,18.45,-0.025,-0.0102,0.0048,0.0076,-0.0103
2015-11-16,205.62,172.324,-0.0102,171.84,18.16,0.1308,19.98,0.0151,0.0142,0.0168,0.0246,0.0065
2015-12-03,205.61,172.3157,-0.0148,172.06,18.11,0.1228,20.11,0.0133,0.0065,0.0013,-0.0036,0.0063
2015-12-09,205.34,172.0894,-0.0204,172.04,19.61,0.3241,21.05,-0.0169,-0.0119,0.0131,0.0093,-0.0012
2015-12-10,205.87,172.5336,-0.0119,172.03,19.34,0.221,20.76,-0.0144,-0.0041,-0.0049,0.005,-0.0177
2016-04-07,203.95,172.8285,-0.0112,169.07,16.16,0.1445,18.86,0.0003,0.0097,0.0199,0.0246,0.0172
2016-04-11,204.02,172.8879,-0.0116,169.04,16.26,0.154,18.89,0.0195,0.0196,0.0256,0.0225,0.0194
2016-04-29,206.33,174.8454,-0.0124,169.28,15.7,0.1246,18.45,-0.0008,-0.0064,-0.003,-0.0076,-0.0041
2016-05-05,204.97,173.6929,-0.0144,169.23,15.91,0.0838,18.92,0.0045,0.017,0.0078,-0.0038,0.0213
2016-05-13,204.76,173.5149,-0.0177,169.23,15.04,0.1034,18.25,0.0004,0.0007,0.0036,0.0268,0.0322
2016-05-19,204.2,173.0404,-0.0125,169.21,16.33,0.1124,18.77,0.0049,0.018,0.0252,0.0298,0.0287
2016-06-13,208.45,176.6418,-0.0185,169.77,20.97,0.4893,21.87,-0.0034,-0.0004,0.0023,-0.0375,0.005
2016-06-14,208.04,176.2944,-0.019,169.82,20.5,0.4003,21.94,0.0016,-0.0021,0.0071,-0.0182,0.013
2016-06-15,207.75,176.0487,-0.011,169.87,20.14,0.1826,21.81,-0.0008,0.0057,0.0069,-0.0001,0.0138
2016-06-28,203.2,173.0885,-0.0361,170.45,18.75,0.087,20.26,0.0309,0.0331,0.0318,0.0577,0.0684
2016-09-09,213.28,181.6747,-0.0263,174.22,17.5,0.4559,18.83,-0.0002,-0.0006,0.0055,0.0178,0.0193
2016-09-12,216.34,184.2813,-0.0122,174.26,15.16,0.2697,17.27,-0.0147,-0.0049,-0.0086,-0.0047,0.0024
2016-09-13,213.23,181.6321,-0.0242,174.29,17.85,0.4269,19.05,0.0096,0.0057,0.0059,0.0161,0.0119
2016-10-11,213.43,182.7208,-0.0109,175.41,15.36,0.1963,16.94,-0.002,-0.0015,0.0013,0.0035,-0.0113
2016-10-13,213.01,182.3613,-0.0146,175.5,16.69,0.2474,17.59,-0.003,0.0033,0.0041,0.0008,-0.0199
2016-11-01,211.01,180.649,-0.0101,176.67,18.56,0.2083,18.74,-0.0106,-0.0117,0.0147,0.0345,0.0454
2016-12-30,223.53,192.4956,-0.0121,182.05,14.04,0.171,16.54,0.0136,0.0128,0.0131,0.0122,0.0182
2017-03-21,233.73,202.1551,-0.0157,188.7,12.47,0.1124,14.62,0.0013,0.0006,0.0068,0.0075,0.0057
2017-03-22,234.28,202.6308,-0.0116,188.81,12.81,0.1356,14.68,-0.0018,-0.0028,0.0054,0.0021,-0.0011
2017-03-23,234.03,202.4145,-0.0116,188.93,13.12,0.157,14.91,-0.0018,0.0055,0.0097,0.006,-0.0065
2017-05-17,235.82,203.9628,-0.0132,193.61,15.59,0.499,15.6,0.0106,0.0157,0.0203,0.032,0.0338
2017-05-18,236.77,204.7844,-0.0147,193.72,14.66,0.4069,14.97,0.0116,0.0139,0.0211,0.0313,0.028
2017-08-10,243.76,211.8582,-0.0166,201.6,16.04,0.6153,16.21,0.0114,0.0113,-0.0027,0.0009,0.0153
2017-08-11,244.12,212.1711,-0.0127,201.74,15.51,0.4151,16.39,0.0098,0.0116,-0.0058,0.0018,0.0152
2017-08-17,243.09,211.2759,-0.014,202.37,15.55,0.2612,16.14,-0.0008,0.0097,0.0037,0.0181,0.0144
2017-08-18,242.71,210.9456,-0.0154,202.52,14.26,0.1844,15.65,0.0112,0.0076,0.0076,0.0211,0.0268
2017-08-21,242.9,211.1108,-0.0164,202.68,13.19,0.1235,14.99,0.0068,0.0045,0.0069,0.013,0.0294
2018-01-31,281.9,247.4812,-0.0163,220.01,13.54,0.222,14.9,-0.0229,-0.0637,-0.0505,-0.0437,-0.0408
2018-02-28,271.65,238.4827,-0.0111,223,19.85,0.2038,19.89,-0.0095,0.002,0.0042,0.0134,-0.0005
2018-03-02,269.08,236.2264,-0.0195,223.28,19.59,0.0538,19.86,0.0141,0.0138,0.0364,0.0231,-0.0372
2018-03-14,275.3,241.687,-0.0128,224.66,17.23,0.1769,18.78,0,-0.0135,-0.0138,-0.0524,-0.0312
2018-03-15,275,241.4236,-0.0126,224.83,16.59,0.0513,18.21,-0.0125,-0.0108,-0.0374,-0.0393,-0.0518
2018-03-19,270.49,238.4153,-0.0135,225.13,19.02,0.1039,19.38,-0.0002,-0.0252,-0.0199,-0.0359,-0.0197
2018-03-20,270.95,238.8208,-0.0108,225.27,18.2,0.097,18.88,-0.0269,-0.0476,-0.0382,-0.0273,-0.0265
2018-03-21,270.43,238.3624,-0.0137,225.4,17.86,0.1304,18.71,-0.0458,-0.0197,-0.0392,-0.0177,-0.0166
2018-04-20,266.61,234.9955,-0.0132,227.68,16.88,0.1069,17.72,-0.0136,-0.0112,-0.0002,-0.0022,0.0234
2018-04-24,262.98,231.7959,-0.022,227.92,18.02,0.1291,18.23,0.0127,0.0136,0.0076,0.015,0.0309
2018-04-25,263.63,232.3688,-0.0112,228.03,17.84,0.0569,18.23,0.0111,0.0033,-0.0016,0.0223,0.0327
2018-05-29,269.02,237.1197,-0.0159,230.71,17.02,0.3529,17.13,0.0071,0.017,0.0226,0.0368,0.0287
2018-06-25,271,239.9374,-0.018,233.58,17.33,0.355,17.52,-0.0061,-0.0004,0.0032,0.0292,0.0349
2018-06-27,269.35,238.4766,-0.0196,233.82,17.91,0.3007,18.05,0.0072,0.0093,0.014,0.0372,0.0395
2018-07-30,279.95,247.8616,-0.0143,236.77,14.26,0.1603,15.66,0.0033,0.0087,0.0168,0.0077,0.0204
2018-08-13,282.1,249.7652,-0.0118,238.15,14.78,0.3622,16.21,-0.0011,0.0069,0.0127,0.0272,0.0273
2018-10-05,287.82,255.9831,-0.0128,243.48,14.82,0.2299,16.25,-0.0015,-0.0331,-0.0412,-0.0402,-0.0781
2018-10-08,287.82,255.9831,-0.0134,243.59,15.69,0.3514,16.51,-0.0331,-0.0544,-0.0466,-0.0445,-0.0832
2018-10-22,275.01,244.59,-0.0194,244.13,19.64,0.1287,19.82,-0.0352,-0.0179,-0.0405,-0.0059,-0.0089
