date,open,high,low,close,adj_close,volume
2023-03-03,399.7100,404.4500,399.0300,404.1900,386.4799,90120000
2023-03-06,405.0500,407.4500,404.0100,404.4700,386.7477,72795900
2023-03-07,404.4200,404.6700,397.6300,398.2700,380.8194,108310600
2023-03-08,398.3900,399.7100,396.5900,398.9200,381.4409,74746600
2023-03-09,399.7400,401.4800,390.5300,391.5600,374.4034,111945300
2023-03-10,390.9900,393.1600,384.3200,385.9100,369.0009,189253000
2023-03-13,381.8100,390.3900,380.6500,385.3600,368.4750,157790000
2023-03-14,390.5000,393.4500,387.0500,391.7300,374.5660,149752400
2023-03-15,385.8900,389.4900,383.7100,389.2800,372.2233,172996900
2023-03-16,386.8200,396.4700,386.2900,396.1100,378.7540,143254200
2023-03-17,393.2200,394.4000,388.5500,389.9900,374.3253,140553400
2023-03-20,390.8000,394.1700,390.0700,393.7400,377.9247,93055800
2023-03-21,397.2400,399.4100,395.5800,398.9100,382.8871,91524200
2023-03-22,398.7300,402.4900,392.0700,392.1100,376.3602,111746600
2023-03-23,395.0900,399.2900,390.3500,393.1700,377.3776,119351300
2023-03-24,391.8400,395.8400,389.4000,395.7500,379.8540,107682400
2023-03-27,398.1200,398.9200,395.5600,396.4900,380.5643,74010400
2023-03-28,395.7700,396.4900,393.6900,395.6000,379.7100,62871700
2023-03-29,399.9300,401.6000,398.6800,401.3500,385.2291,77497900
2023-03-30,404.0900,404.3500,401.7600,403.7000,387.4846,69840000
2023-03-31,404.6600,409.7000,404.5500,409.3900,392.9461,112062600
2023-04-03,408.8500,411.3700,408.4400,410.9500,394.4435,67391100
2023-04-04,411.6200,411.9200,407.2400,408.6700,392.2551,66601500
2023-04-05,407.9100,408.7000,405.8800,407.6000,391.2280,65200200
2023-04-06,406.7700,409.4800,405.6800,409.1900,392.7542,63743300
2023-04-10,406.6100,409.6900,405.9700,409.6100,393.1572,63681000
2023-04-11,410.2600,411.1800,408.9200,409.7200,393.2628,59297900
2023-04-12,411.8700,412.1700,407.4400,408.0500,391.6599,86420400
2023-04-13,409.1800,413.8400,407.9900,413.4700,396.8622,85814800
2023-04-14,412.8100,415.0900,410.0600,412.4600,395.8928,78161500
2023-04-17,412.3700,413.9600,411.0900,413.9400,397.3134,66436400
